[header]
width=50
height=50
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=,32,32,0,0
tileset=,0,0,0,0

[layer]
type=Calque de Tile 1
data=
4,4,2,4,4,8,1,1,1,1,1,9,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,
2,4,4,4,2,8,1,1,1,1,1,9,4,4,2,4,4,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,2,2,2,4,4,4,4,2,4,4,
2,4,2,4,2,8,1,1,1,1,1,9,4,4,4,4,4,2,2,2,2,2,2,4,2,2,2,4,4,4,4,2,2,4,4,2,2,2,4,2,2,4,2,4,4,2,2,4,4,4,
4,2,4,2,4,22,3,3,3,3,3,21,2,4,4,4,2,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,
4,4,4,4,2,8,1,1,1,1,1,5,17,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,
2,4,4,2,2,33,1,1,1,1,1,1,9,4,4,4,4,4,2,4,2,2,4,2,2,2,2,4,4,4,2,2,4,4,4,4,2,4,2,2,14,5,5,5,17,2,2,2,2,4,
2,4,2,2,2,33,1,1,1,1,1,1,9,2,4,2,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17,4,4,14,5,5,5,5,11,12,7,13,10,5,5,5,11,2,
4,4,14,34,5,11,1,1,1,1,1,1,10,5,5,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,4,8,1,1,1,1,1,9,4,8,1,1,1,1,1,4,
4,4,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,4,8,1,1,1,1,1,10,5,11,1,1,1,1,1,2,
2,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,7,7,7,7,7,7,7,7,7,13,1,1,1,9,2,4,8,1,1,12,7,13,1,1,1,1,1,1,1,1,2,
